Mant. Mecanico,1,1,115.434839862275,0.993674803295218
Mant. Mecanico,2,1,107.755673195608,0.994095579550926
Mant. Mecanico,3,1,104.451506528941,0.994276629779236
Mant. Mecanico,4,1,104.447339862275,0.994276858089738
Mant. Mecanico,5,1,103.972339862275,0.994302885486999
Mant. Mecanico,6,1,103.709839862275,0.994317269048642
Mant. Mecanico,7,1,103.659839862275,0.99432000877467
Mant. Mecanico,8,1,103.659839862275,0.99432000877467
Mant. Mecanico,9,1,103.659839862275,0.99432000877467
Mant. Mecanico,10,1,103.659839862275,0.99432000877467
Mant. Mecanico,11,1,103.659839862275,0.99432000877467
Mant. Mecanico,12,1,103.659839862275,0.99432000877467
Mant. Mecanico,1,1,411.841543922946,0.992477780019672
Mant. Mecanico,2,1,377.98737725628,0.993096120963356
Mant. Mecanico,3,1,362.545710589613,0.993378160537176
Mant. Mecanico,4,1,353.737377256279,0.993539043337785
Mant. Mecanico,5,1,348.212377256279,0.993639956579794
Mant. Mecanico,6,1,347.054043922946,0.993661113353006
Mant. Mecanico,7,1,345.241543922946,0.993694218375837
Mant. Mecanico,8,1,344.291543922946,0.99371156997401
Mant. Mecanico,9,1,343.554043922946,0.993725040293645
Mant. Mecanico,10,1,349.841543922946,0.993610200110996
Mant. Mecanico,11,1,349.716543922946,0.993612483216019
Mant. Mecanico,12,1,349.604043922946,0.99361453801054
Mant. Mecanico,1,1,859.002690963883,0.990586271879848
Mant. Mecanico,2,1,650.061024297217,0.992876043569346
Mant. Mecanico,3,1,627.252690963883,0.993125997907245
Mant. Mecanico,4,1,604.181857630549,0.993378828957473
Mant. Mecanico,5,1,605.636024297215,0.993362892884414
Mant. Mecanico,6,1,597.777690963882,0.993449011605875
Mant. Mecanico,7,1,597.811024297215,0.993448646309072
Mant. Mecanico,8,1,594.411024297214,0.993485906583044
Mant. Mecanico,9,1,592.273524297215,0.993509331240578
Mant. Mecanico,10,1,591.340190963881,0.993519559551081
Mant. Mecanico,11,1,596.577690963881,0.993462162290807
Mant. Mecanico,12,1,595.323524297214,0.993475906583044
Mant. Mecanico,1,1,1571.34828808308,0.987699817705808
Mant. Mecanico,2,1,971.364954749747,0.992396360432487
Mant. Mecanico,3,1,869.381621416412,0.993194664411613
Mant. Mecanico,4,1,853.873288083076,0.993316060367256
Mant. Mecanico,5,1,845.373288083076,0.993382596570778
Mant. Mecanico,6,1,825.902454749743,0.993535010138945
Mant. Mecanico,7,1,818.58162141641,0.993592316075018
Mant. Mecanico,8,1,828.581621416409,0.993514038188521
Mant. Mecanico,9,1,824.081621416409,0.993549263237445
Mant. Mecanico,10,1,820.727454749742,0.993575518945207
Mant. Mecanico,11,1,824.506621416409,0.993545936427269
Mant. Mecanico,12,1,821.910788083075,0.993566256061972
Mant. Mecanico,1,0.994800693240901,2876.05899999894,0.982489747336384
Mant. Mecanico,2,1,1291.05899999894,0.992139671232883
Mant. Mecanico,3,1,1138.10899999893,0.993070873668195
Mant. Mecanico,4,1,1092.45483333226,0.993348829020808
Mant. Mecanico,5,1,1103.37149999893,0.99328236529681
Mant. Mecanico,6,1,1084.0131666656,0.993400224251655
Mant. Mecanico,7,1,1089.34649999893,0.993367753424664
Mant. Mecanico,8,1,1090.41316666559,0.993361259259266
Mant. Mecanico,9,1,1088.5881666656,0.993372370370377
Mant. Mecanico,10,1,1089.37149999893,0.993367601217663
Mant. Mecanico,11,1,1084.93816666559,0.993394592592599
Mant. Mecanico,12,1,1086.65066666559,0.993384166412995
Mant. Mecanico,1,0.972320794889993,6918.78031513821,0.965535340895949
Mant. Mecanico,2,1,1647.48864847155,0.991793331763529
Mant. Mecanico,3,1,1386.62614847155,0.993092771365023
Mant. Mecanico,4,1,1301.41781513821,0.993517221344268
Mant. Mecanico,5,1,1248.59698180488,0.993780338820399
Mant. Mecanico,6,1,1292.25948180488,0.993562841933724
Mant. Mecanico,7,1,1278.80948180488,0.993629840688394
Mant. Mecanico,8,1,1308.51364847154,0.993481874727414
Mant. Mecanico,9,1,1294.27614847155,0.993552796271624
Mant. Mecanico,10,1,1297.00531513821,0.993539201418988
Mant. Mecanico,11,1,1300.40948180488,0.993522244175318
Mant. Mecanico,12,1,1297.59698180488,0.993536254137958
