Service,num_cuad,perc_completed_corr_Pozo.BM,dpy_corr_Pozo.BM,productivity
Recorredores,1,1,8.112022238,0.999555506
Recorredores,2,1,7.995930415,0.999561867
Recorredores,3,1,7.995930415,0.999561867
Recorredores,4,1,7.995930415,0.999561867
Recorredores,5,1,7.995930415,0.999561867
Recorredores,5,1,7.995930415,0.999561867
Recorredores,5,1,7.995930415,0.999561867Recorredores,9,1,19.4204746349197,0.999787172880713
Recorredores,10,1,19.4204746349197,0.999787172880713
Recorredores,11,1,19.4204746349197,0.999787172880713
Recorredores,12,1,19.4204746349197,0.999787172880713
Recorredores,1,1,25.4952418078772,0.999800428635555
Recorredores,2,1,24.9535751412105,0.99980466868774
Recorredores,3,1,24.9535751412105,0.99980466868774
Recorredores,4,1,24.9535751412105,0.99980466868774
Recorredores,5,1,24.9535751412105,0.99980466868774
Recorredores,6,1,24.9535751412105,0.99980466868774
Recorredores,7,1,24.9535751412105,0.99980466868774
Recorredores,8,1,24.9535751412105,0.99980466868774
Recorredores,9,1,24.9535751412105,0.99980466868774
Recorredores,10,1,24.9535751412105,0.99980466868774
Recorredores,1,1,8.11202223805923,0.999555505630791
Recorredores,2,1,7.99593041547473,0.999561866826549
Recorredores,3,1,7.99593041547473,0.999561866826549
Recorredores,4,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,1,1,13.9853021886407,0.999744560690618
Recorredores,2,1,13.7025436993895,0.999749725229235
Recorredores,3,1,13.7025436993895,0.999749725229235
Recorredores,4,1,13.7025436993895,0.999749725229235
Recorredores,5,1,13.7025436993895,0.999749725229235
Recorredores,6,1,13.7025436993895,0.999749725229235
Recorredores,7,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,1,1,19.7954746349197,0.999783063291672
Recorredores,2,1,19.4204746349197,0.999787172880713
Recorredores,3,1,19.4204746349197,0.999787172880713
Recorredores,4,1,19.4204746349197,0.999787172880713
Recorredores,5,1,19.4204746349197,0.999787172880713
Recorredores,6,1,19.4204746349197,0.999787172880713
Recorredores,7,1,19.4204746349197,0.999787172880713
Recorredores,8,1,19.4204746349197,0.999787172880713
Recorredores,9,1,19.4204746349197,0.999787172880713
Recorredores,10,1,19.4204746349197,0.999787172880713
Recorredores,11,1,19.4204746349197,0.999787172880713
Recorredores,12,1,19.4204746349197,0.999787172880713
Recorredores,1,1,25.4952418078772,0.999800428635555
Recorredores,2,1,24.9535751412105,0.99980466868774
Recorredores,3,1,24.9535751412105,0.99980466868774
Recorredores,4,1,24.9535751412105,0.99980466868774
Recorredores,5,1,24.9535751412105,0.99980466868774
Recorredores,6,1,24.9535751412105,0.99980466868774
Recorredores,7,1,24.9535751412105,0.99980466868774
Recorredores,8,1,24.9535751412105,0.99980466868774
Recorredores,9,1,24.9535751412105,0.99980466868774
Recorredores,10,1,24.9535751412105,0.99980466868774
Recorredores,11,1,24.9535751412105,0.99980466868774
Recorredores,12,1,24.9535751412105,0.99980466868774
Recorredores,1,1,33.1511818772803,0.999798166320382
Recorredores,1,1,8.11202223805923,0.999555505630791
Recorredores,2,1,7.99593041547473,0.999561866826549
Recorredores,3,1,7.99593041547473,0.999561866826549
Recorredores,4,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,1,1,13.9853021886407,0.999744560690618
Recorredores,2,1,13.7025436993895,0.999749725229235
Recorredores,3,1,13.7025436993895,0.999749725229235
Recorredores,4,1,13.7025436993895,0.999749725229235
Recorredores,5,1,13.7025436993895,0.999749725229235
Recorredores,6,1,13.7025436993895,0.999749725229235
Recorredores,7,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,1,1,19.7954746349197,0.999783063291672
Recorredores,2,1,19.4204746349197,0.999787172880713
Recorredores,3,1,19.4204746349197,0.999787172880713
Recorredores,4,1,19.4204746349197,0.999787172880713
Recorredores,5,1,19.4204746349197,0.999787172880713
Recorredores,6,1,19.4204746349197,0.999787172880713
Recorredores,7,1,19.4204746349197,0.999787172880713
Recorredores,8,1,19.4204746349197,0.999787172880713
Recorredores,9,1,19.4204746349197,0.999787172880713
Recorredores,10,1,19.4204746349197,0.999787172880713
Recorredores,11,1,19.4204746349197,0.999787172880713
Recorredores,12,1,19.4204746349197,0.999787172880713
Recorredores,1,1,25.4952418078772,0.999800428635555
Recorredores,1,1,8.11202223805923,0.999555505630791
Recorredores,2,1,7.99593041547473,0.999561866826549
Recorredores,3,1,7.99593041547473,0.999561866826549
Recorredores,4,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,6,1,7.99593041547473,0.999561866826549
Recorredores,7,1,7.99593041547473,0.999561866826549
Recorredores,8,1,7.99593041547473,0.999561866826549
Recorredores,9,1,7.99593041547473,0.999561866826549
Recorredores,10,1,7.99593041547473,0.999561866826549
Recorredores,11,1,7.99593041547473,0.999561866826549
Recorredores,12,1,7.99593041547473,0.999561866826549
Recorredores,1,1,13.9853021886407,0.999744560690618
Recorredores,2,1,13.7025436993895,0.999749725229235
Recorredores,3,1,13.7025436993895,0.999749725229235
Recorredores,4,1,13.7025436993895,0.999749725229235
Recorredores,5,1,13.7025436993895,0.999749725229235
Recorredores,6,1,13.7025436993895,0.999749725229235
Recorredores,7,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,9,1,13.7025436993895,0.999749725229235
Recorredores,10,1,13.7025436993895,0.999749725229235
Recorredores,11,1,13.7025436993895,0.999749725229235
Recorredores,12,1,13.7025436993895,0.999749725229235
Recorredores,1,1,19.7954746349197,0.999783063291672
Recorredores,2,1,19.4204746349197,0.999787172880713
Recorredores,3,1,19.4204746349197,0.999787172880713
Recorredores,4,1,19.4204746349197,0.999787172880713
Recorredores,5,1,19.4204746349197,0.999787172880713
Recorredores,6,1,19.4204746349197,0.999787172880713
Recorredores,7,1,19.4204746349197,0.999787172880713
Recorredores,8,1,19.4204746349197,0.999787172880713
Recorredores,9,1,19.4204746349197,0.999787172880713
Recorredores,10,1,19.4204746349197,0.999787172880713
Recorredores,11,1,19.4204746349197,0.999787172880713
Recorredores,12,1,19.4204746349197,0.999787172880713
Recorredores,1,1,8.11202223805923,0.999555505630791
Recorredores,2,1,7.99593041547473,0.999561866826549
Recorredores,3,1,7.99593041547473,0.999561866826549
Recorredores,4,1,7.99593041547473,0.999561866826549
Recorredores,5,1,7.99593041547473,0.999561866826549
Recorredores,6,1,7.99593041547473,0.999561866826549
Recorredores,7,1,7.99593041547473,0.999561866826549
Recorredores,8,1,7.99593041547473,0.999561866826549
Recorredores,9,1,7.99593041547473,0.999561866826549
Recorredores,10,1,7.99593041547473,0.999561866826549
Recorredores,11,1,7.99593041547473,0.999561866826549
Recorredores,12,1,7.99593041547473,0.999561866826549
Recorredores,1,1,13.9853021886407,0.999744560690618
Recorredores,2,1,13.7025436993895,0.999749725229235
Recorredores,3,1,13.7025436993895,0.999749725229235
Recorredores,4,1,13.7025436993895,0.999749725229235
Recorredores,5,1,13.7025436993895,0.999749725229235
Recorredores,6,1,13.7025436993895,0.999749725229235
Recorredores,7,1,13.7025436993895,0.999749725229235
Recorredores,8,1,13.7025436993895,0.999749725229235
Recorredores,9,1,13.7025436993895,0.999749725229235
Recorredores,10,1,13.7025436993895,0.999749725229235
Recorredores,11,1,13.7025436993895,0.999749725229235
Recorredores,12,1,13.7025436993895,0.999749725229235
Recorredores,1,1,19.7954746349197,0.999783063291672
Recorredores,2,1,19.4204746349197,0.999787172880713
Recorredores,3,1,19.4204746349197,0.999787172880713
Recorredores,4,1,19.4204746349197,0.999787172880713
Recorredores,5,1,19.4204746349197,0.999787172880713
Recorredores,6,1,19.4204746349197,0.999787172880713
Recorredores,7,1,19.4204746349197,0.999787172880713
Recorredores,8,1,19.4204746349197,0.999787172880713
Recorredores,9,1,19.4204746349197,0.999787172880713
Recorredores,10,1,19.4204746349197,0.999787172880713
Recorredores,11,1,19.4204746349197,0.999787172880713
Recorredores,12,1,19.4204746349197,0.999787172880713
Recorredores,1,1,25.4952418078772,0.999800428635555
Recorredores,2,1,24.9535751412105,0.99980466868774
Recorredores,3,1,24.9535751412105,0.99980466868774
Recorredores,4,1,24.9535751412105,0.99980466868774
Recorredores,5,1,24.9535751412105,0.99980466868774
